,Country,Year,AverageTemperature,AverageTemperatureUncertainty,Continent,ISO 3166-1 alpha-3,EmissionsTotal,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
187,Timor Leste,1950,25.426666666666666,0.6902500000000001,Asia,TLS,0.0,,,,,,,0.0
188,Togo,1950,26.941083333333335,0.40641666666666665,Africa,TGO,0.025648,0.0,0.025648,0.0,0.0,0.0,,0.018339
189,Tonga,1950,23.478416666666664,0.45008333333333334,Oceania,TON,0.007328,0.0,0.007328,0.0,0.0,0.0,,0.14706
190,Trinidad And Tobago,1950,25.967916666666667,0.5154166666666667,North America,TTO,2.352288,0.051376,1.390822,0.91009,0.0,0.0,,3.626627
191,Tunisia,1950,20.121750000000002,0.37825,Africa,TUN,1.219429,0.454336,0.67784,0.003664,0.083589,0.0,,0.33814
192,Turkey,1950,11.466666666666667,0.3721666666666667,Asia,TUR,9.488155,7.774346,1.517482,0.0,0.196327,0.0,,0.452297
193,Turkmenistan,1950,13.65375,0.4779166666666666,Asia,TKM,5.660132,1.382791,3.750919,0.46976,0.056662,0.0,,4.662013
194,Turks And Caicas Islands,1950,26.359750000000002,0.5151666666666667,North America,TCA,0.0,,,,,,,0.0
195,Uganda,1950,22.967916666666667,0.43983333333333335,Africa,UGA,0.106256,0.0,0.106256,0.0,0.0,0.0,,0.018477
196,Ukraine,1950,8.020666666666667,0.22833333333333336,Europe,UKR,131.678303,113.864618,15.446288,1.524432,0.842965,0.0,,3.529966
197,United Arab Emirates,1950,27.1305,0.61725,Asia,ARE,0.0,,,,,,,0.0
198,United Kingdom,1950,8.619166666666667,0.22091666666666665,Europe,GBR,500.792103,453.925291,41.967761,0.0,4.899051,0.0,,10.004824
199,United States,1950,8.656416666666667,0.14958333333333332,North America,USA,2541.485265,1257.231984,896.80064,319.218672,20.124553,43.121616,4.9878,17.139592
200,Uruguay,1950,17.41325,0.4106666666666667,South America,URY,2.453662,0.278464,2.026192,0.0,0.149006,0.0,,1.098256
201,Uzbekistan,1950,11.026166666666667,0.5025833333333333,Asia,UZB,17.178674,6.680084,8.325174,1.870497,0.302919,0.0,,2.749666
202,Venezuela,1950,24.793499999999998,0.36883333333333335,South America,VEN,38.275787,0.003664,7.903248,2.304656,0.247131,27.817088,,6.973671
203,Vietnam,1950,23.944833333333335,0.33391666666666664,Asia,VNM,1.47966,1.039485,0.367309,0.0,0.072866,0.0,,0.058929
204,Yemen,1950,25.81566666666667,0.4835833333333333,Asia,YEM,0.058624,0.0,0.058624,0.0,0.0,0.0,,0.012439
205,Zambia,1950,20.847666666666665,0.28825,Africa,ZMB,2.330187,2.210712,0.095425,0.0,0.02405,0.0,,1.005063
206,Zimbabwe,1950,21.258416666666665,0.2990833333333333,Africa,ZWE,3.17981,2.859943,0.276335,0.0,0.043532,0.0,,1.139175
207,Afghanistan,1951,13.96775,0.4019166666666667,Asia,AFG,0.0916,0.025648,0.065952,0.0,0.0,0.0,,0.012098
208,Albania,1951,13.569833333333333,0.42358333333333337,Europe,ALB,0.402981,0.07328,0.31144,0.010992,0.007269,0.0,,0.31259
209,Algeria,1951,23.32166666666667,0.37883333333333336,Africa,DZA,4.131179,2.040848,1.86864,0.0,0.221691,0.0,,0.445567
210,Andorra,1951,10.972916666666668,0.45075,Europe,AND,0.0,,,,0.0,,,0.0
211,Angola,1951,22.002166666666668,0.4096666666666667,Africa,AGO,0.249152,0.095264,0.153888,0.0,0.0,0.0,,0.054522
212,Anguilla,1951,26.69525,0.32008333333333333,North America,AIA,0.0,,,,,,,0.0
213,Antigua And Barbuda,1951,26.537750000000003,0.2936666666666667,North America,ATG,0.0,,,,,,,0.0
214,Argentina,1951,14.836916666666667,0.24350000000000002,South America,ARG,34.962916,5.470352,27.304128,1.417968,0.770468,0.0,,2.014618
215,Armenia,1951,8.741583333333333,0.42425,Asia,ARM,1.604283,0.701466,0.806591,0.07213,0.024097,0.0,,1.126603
